note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1039951,Niger,13.5282548,2.1776386,2017-06-23 00:00:00,2019-01-08 10:39:17,0,Abdoul-Aziz Zakou,"'la station n'est pas a cet emplacement' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Station Total Noamey 2000 POI types: amenity-fuel OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,freebeer,nothing at marker
1038781,Niger,13.5536090,2.0777638,2017-06-23 00:00:00,2019-01-08 10:37:48,0,Abdoul-Aziz Zakou,"'il n'y a pas de station a cet emplacement' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Ryad POI types: amenity-fuel OSM data version: 2017-05-11T13:22:09Z  #mapsme",2,0,freebeer,nothing at marker
1021210,Niger,13.5752464,1.9545364,2017-06-06 00:00:00,2019-01-08 10:34:11,0,ABASS Harou Hadiza,Field work,2,0,freebeer,personal bookmark
857725,Niger,13.5168154,2.1155548,2017-01-20 00:00:00,2019-01-08 10:24:58,0,Unknown,ce point est mal placé,2,0,freebeer,nothing at marker
790855,Niger,13.3182352,12.6138314,2016-11-21 00:00:00,2019-01-08 10:24:11,0,AAG21,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. (OSM data version: 2016-09-19T14:38:03Z) #mapsme",2,0,freebeer,duplicate
1032495,Niger,13.5437326,2.1069548,2017-06-17 00:00:00,2019-01-08 03:41:20,0,Abdoul-Aziz Zakou,"'la station se trouve en face' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: BM Trading Oil POI types: amenity-fuel OSM data version: 2017-05-11T13:22:09Z  #mapsme",2,0,freebeer,nothing at marker
1075894,Niger,13.5649358,2.1197109,2017-07-23 00:00:00,2019-01-08 03:37:37,0,Abdoul-Aziz Zakou,"'la station n'est pas a cet emplacement' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Station 3SK POI types: amenity-fuel OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,freebeer,nothing at marker
1023211,Niger,13.5649360,2.1197100,2017-06-07 00:00:00,2019-01-08 03:36:47,0,Abdoul-Aziz Zakou,"'il n'y a pas station a cet emplacement' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Station 3SK POI types: amenity-fuel OSM data version: 2017-05-11T13:22:09Z  #mapsme",2,0,freebeer,nothing at marker
1441943,Niger,15.3275000,13.1961000,2018-07-01 00:00:00,2019-01-08 03:32:13,0,Unknown,N'gourti,2,0,freebeer,on the map
1039952,Niger,13.5293631,2.1829252,2017-06-23 00:00:00,2019-01-08 03:29:06,0,Abdoul-Aziz Zakou,"'la station n'est pas a cet emplacement' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Station Oriba POI types: amenity-fuel OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,freebeer,nothing at marker
